F090W_vega,F150W_vega
27.023,25.815
27.451,25.847
27.609,25.913
27.107,25.81
27.317,25.863
27.399,25.868
27.432,25.871
28.055,25.843
27.353,25.85
27.331,25.82
27.255,25.878
27.299,25.862
27.35,25.844
27.496,25.879
27.512,25.892
27.541,25.868
27.659,25.903
27.305,25.875
27.462,25.875
27.628,25.904
27.243,25.898
27.345,25.888
27.153,25.846
27.346,25.891
27.501,25.86
26.896,25.861
27.401,25.904
27.182,25.896
27.378,25.855
27.314,25.858
27.282,25.852
27.303,25.926
27.652,25.935
27.469,25.865
28.216,25.984
27.533,25.918
27.219,25.908
27.251,25.891
28.091,25.921
27.691,25.916
27.505,25.93
27.337,25.868
27.438,25.937
27.335,25.926
27.354,25.941
27.573,25.926
27.468,25.936
27.522,25.874
27.436,25.872
27.481,25.949
27.401,25.96
27.5,25.941
27.057,25.963
27.327,25.959
27.627,25.946
27.492,25.938
27.578,25.951
27.599,25.96
27.42,25.936
27.25,25.964
27.741,25.967
27.495,25.97
27.494,25.934
27.608,25.968
27.464,25.95
27.539,25.958
27.336,25.972
27.592,25.957
27.53,25.97
27.494,25.959
27.495,25.977
27.537,25.963
27.378,25.904
27.342,25.93
27.392,25.908
27.645,25.977
27.238,25.978
27.56,25.972
27.562,25.965
27.454,25.907
27.49,25.951
27.521,25.982
27.431,25.986
27.52,25.973
27.276,25.971
27.563,25.998
27.462,25.978
27.601,25.998
27.239,25.974
27.483,25.955
27.515,25.989
27.875,25.997
27.524,25.982
27.633,25.994
27.778,25.995
27.648,25.971
27.484,25.989
27.407,25.918
27.495,25.99
27.453,25.981
26.862,25.99
27.62,25.99
27.356,25.994
27.714,26.001
27.55,25.992
27.404,26.004
27.671,26.005
27.522,25.998
27.509,25.984
27.433,26.008
27.537,25.993
27.29,25.993
27.543,25.996
27.557,25.99
27.587,26.007
27.287,26.006
27.308,26.018
27.507,26.006
27.449,25.993
27.682,26.002
27.633,26.015
27.705,25.998
27.503,26.001
27.711,26.008
27.642,26.003
27.782,26.013
27.554,26.01
27.499,26.015
27.682,26.008
26.559,26.29
27.461,26.022
27.229,26.002
27.607,26.013
27.654,26.023
27.461,26.027
27.776,26.021
27.444,26.028
27.505,26.009
27.636,26.011
28.045,26.053
27.508,26.033
27.573,26.006
27.474,26.028
27.533,26.028
27.677,26.013
27.579,26.035
27.446,26.022
27.445,26.01
27.597,26.007
27.676,26.018
27.52,26.004
27.379,26.046
27.688,26.027
27.601,26.033
27.564,26.015
27.544,25.99
27.504,26.026
27.428,26.035
27.636,26.04
27.167,26.035
27.641,26.034
27.515,26.032
27.576,26.029
27.603,26.047
27.642,26.042
27.545,25.997
27.401,26.064
27.513,26.045
27.51,26.054
27.901,26.031
27.611,26.057
27.283,26.002
27.6,26.049
27.754,26.059
27.432,26.026
27.609,26.072
27.593,26.054
27.73,26.044
27.196,26.071
27.672,26.069
27.546,26.056
27.619,26.065
27.602,26.039
27.531,26.049
27.689,26.059
27.622,26.052
27.642,26.048
27.453,26.075
27.545,26.048
27.312,26.017
27.994,26.078
27.828,26.071
27.564,26.047
27.608,26.046
27.679,26.06
27.497,26.07
27.74,26.073
27.541,26.073
27.479,26.076
27.779,26.079
27.468,26.046
27.783,26.071
27.505,26.064
27.509,26.062
27.562,26.044
27.747,26.031
27.604,26.073
27.349,26.068
27.557,25.987
28.095,26.122
27.574,26.068
27.681,27.151
27.744,26.077
27.266,26.094
27.753,26.082
27.578,26.066
27.499,26.083
27.438,26.079
27.587,26.091
27.605,26.08
27.59,26.087
27.657,26.07
27.49,26.084
27.53,26.082
27.451,26.055
27.565,26.106
27.674,26.087
27.593,26.065
27.381,26.078
27.604,26.113
27.75,26.102
27.615,26.092
27.631,26.102
27.375,26.064
27.719,26.093
27.832,26.121
27.672,26.079
27.832,26.078
27.328,26.147
27.752,26.12
27.54,26.037
27.573,26.079
27.503,26.099
27.44,26.106
27.742,26.102
27.4,26.098
27.479,26.099
27.626,26.095
27.602,26.094
27.692,26.097
27.838,26.106
27.803,26.131
27.585,26.106
27.696,26.112
27.613,27.348
27.712,26.106
27.746,26.095
27.751,26.122
27.441,26.111
27.713,26.129
27.736,26.124
27.618,26.109
27.736,26.125
27.393,26.103
27.747,26.112
27.59,26.114
27.694,26.129
27.14,26.241
27.794,26.131
27.722,26.112
27.713,27.297
27.545,26.12
27.512,26.107
27.646,26.128
27.533,26.115
27.716,26.11
27.74,26.109
27.522,26.102
27.813,26.129
27.518,26.139
27.607,26.132
27.559,26.098
27.726,26.134
27.424,26.119
27.536,26.115
27.525,26.1
27.911,26.073
27.593,26.128
27.735,26.08
27.636,26.074
27.446,26.102
27.78,26.139
27.519,26.12
27.634,27.132
27.609,26.103
27.701,26.114
27.594,26.125
27.716,26.136
27.518,26.133
27.478,26.138
27.624,26.131
27.598,26.159
27.737,26.085
27.728,26.162
27.452,26.111
27.418,26.086
27.478,26.15
27.443,26.087
27.797,26.129
27.619,26.14
27.386,26.138
28.047,26.167
27.473,26.116
27.725,26.145
27.479,26.137
27.641,26.255
27.684,26.139
27.452,27.038
27.678,26.145
27.792,26.17
27.712,26.138
27.804,26.15
27.735,26.148
27.57,26.136
27.635,26.15
27.464,26.099
27.616,26.111
27.645,26.15
27.747,26.141
27.511,26.145
27.644,26.137
27.507,26.126
27.577,26.138
27.606,27.178
27.511,26.141
27.624,26.139
27.668,26.161
27.713,26.171
27.805,26.155
27.539,26.173
27.822,26.151
27.605,26.142
27.851,26.152
27.226,26.146
27.645,26.135
27.638,26.149
27.668,26.166
27.615,26.155
27.656,26.155
27.823,26.19
27.493,26.175
27.596,26.132
27.61,26.153
27.498,26.171
27.716,26.129
27.695,26.154
27.389,26.133
27.653,27.252
27.435,26.158
27.79,26.17
27.62,26.157
27.614,26.148
27.239,26.236
27.853,26.176
27.78,26.179
27.763,26.174
27.689,26.17
27.5,26.176
27.497,26.162
27.629,26.167
27.792,26.161
27.499,26.125
27.491,26.161
27.581,26.161
27.656,26.167
27.603,26.113
27.891,26.208
27.506,26.164
27.766,26.165
27.511,26.157
27.62,26.107
27.606,26.176
27.582,26.204
27.499,26.18
27.82,26.174
27.689,26.14
27.519,26.193
27.688,26.179
27.569,26.184
27.562,26.155
27.681,26.18
27.487,26.166
27.858,26.181
27.703,26.185
27.661,26.132
27.73,26.172
27.579,26.166
27.643,26.169
27.773,26.198
27.415,26.142
27.614,26.175
28.06,26.214
27.581,26.173
27.805,26.193
27.753,26.174
27.662,26.123
27.54,26.189
27.526,26.203
27.471,26.125
27.836,26.166
27.719,26.165
27.872,26.173
27.797,26.194
27.608,26.175
27.607,26.193
27.763,26.199
27.823,26.184
27.5,26.195
27.746,26.209
27.581,26.169
27.789,26.181
27.642,26.2
27.642,26.191
27.734,26.182
27.88,26.2
27.709,26.146
27.649,26.182
27.627,26.222
28.034,26.214
27.748,26.196
27.563,26.219
27.74,26.189
27.602,26.181
27.701,26.183
27.643,26.172
27.788,26.215
27.69,26.18
27.589,26.193
27.714,26.192
27.601,26.203
27.801,26.154
27.534,26.292
27.654,26.198
27.917,26.232
27.612,26.186
27.252,26.162
27.51,26.206
27.812,26.172
27.316,26.18
27.729,26.172
27.981,26.234
27.69,26.189
27.677,26.22
27.795,26.202
27.682,26.194
27.702,26.204
27.5,26.217
27.85,26.197
27.631,26.145
27.622,26.201
27.651,26.207
27.582,26.201
27.743,26.2
27.906,26.21
27.898,26.226
27.715,26.202
27.784,26.223
27.821,26.217
27.714,26.148
27.71,26.205
27.803,26.157
27.596,26.236
27.691,26.206
27.543,26.156
27.622,26.208
27.566,26.21
27.598,26.223
28.069,26.237
27.656,26.213
27.667,26.224
27.766,26.146
27.608,26.215
27.627,26.208
28.004,26.221
27.741,26.208
27.7,26.162
27.678,26.183
27.813,26.213
27.703,26.219
27.676,26.215
27.849,26.242
27.587,26.225
27.797,26.229
27.794,26.241
27.836,26.205
27.633,26.23
27.488,26.239
27.657,26.229
27.639,26.202
27.636,26.23
27.759,26.213
27.638,26.243
27.825,26.259
27.618,26.211
27.635,26.163
27.565,26.242
27.943,26.238
27.655,26.252
27.496,26.231
27.591,26.254
27.693,26.244
27.741,26.216
27.737,26.242
27.49,26.18
27.7,26.199
27.672,26.18
27.654,26.205
27.678,26.243
27.799,26.25
27.605,26.181
27.77,26.171
28.049,26.236
27.881,26.256
27.574,26.228
27.794,26.241
27.776,26.253
27.7,26.182
27.862,26.234
27.63,26.237
27.741,26.219
28.022,26.274
27.571,26.233
27.644,26.217
27.678,26.245
27.711,26.185
27.542,26.235
27.81,26.225
27.746,26.252
27.688,26.242
27.768,26.232
27.661,26.238
27.727,26.176
27.627,26.178
27.589,26.267
27.495,26.259
27.566,26.253
27.726,26.22
27.603,26.265
27.611,26.261
27.672,26.233
27.769,26.225
27.588,26.312
27.806,26.195
27.724,26.269
27.721,26.196
27.819,26.254
27.6,26.243
27.74,26.256
27.596,26.236
27.663,26.209
27.642,26.273
27.579,26.265
27.719,26.235
27.739,26.263
27.718,26.258
27.367,26.284
27.731,26.305
27.52,26.258
27.83,26.262
27.8,27.177
28.15,26.233
27.843,26.271
27.685,26.211
27.751,26.259
27.763,26.272
27.58,26.211
27.696,26.267
27.749,26.267
27.648,26.265
27.693,26.265
27.855,26.263
27.397,26.263
27.758,26.248
27.832,26.256
28.052,26.283
27.623,26.223
27.627,26.28
27.982,26.274
27.732,26.27
27.785,26.281
27.524,26.26
27.717,26.257
27.644,26.261
27.677,26.27
27.811,26.281
27.716,26.201
27.751,26.22
27.885,26.264
27.697,26.267
27.763,26.285
27.691,26.278
27.478,26.293
27.89,26.289
27.85,26.278
27.893,26.217
28.019,26.302
27.73,26.214
27.669,26.282
27.732,26.234
27.681,26.197
27.798,26.284
27.826,26.277
27.552,26.269
27.623,26.264
27.792,26.305
27.736,26.269
27.763,26.272
27.973,26.292
27.758,26.209
27.536,26.293
27.851,26.288
27.624,26.299
27.732,26.28
27.789,26.308
27.769,26.296
28.039,26.612
27.577,26.276
27.545,26.27
27.677,26.263
27.663,26.277
27.579,26.247
27.78,26.287
27.748,26.274
27.673,26.273
27.628,26.235
27.744,26.292
27.8,26.281
