F090W_vega,F150W_vega
27.432,26.152
27.641,26.168
27.604,26.122
27.57,26.126
27.442,26.11
27.413,26.166
27.531,26.207
27.374,26.216
27.613,26.2
27.403,26.204
27.445,26.14
27.532,26.139
27.566,26.181
27.714,26.132
27.547,26.149
27.614,26.154
27.408,26.139
27.639,26.216
27.578,26.146
27.341,26.156
27.507,26.137
27.254,26.22
27.528,26.142
27.745,26.197
27.553,26.206
27.504,26.199
27.636,26.215
27.682,26.193
27.414,26.136
27.606,26.215
27.876,26.21
27.636,26.198
27.641,26.165
27.723,26.167
27.686,26.204
27.599,26.141
27.82,26.146
27.662,26.146
27.584,26.154
27.687,26.176
27.388,26.239
27.337,26.186
27.564,26.139
27.692,26.146
27.509,26.136
27.698,26.187
27.782,26.178
27.453,26.184
27.504,26.174
27.469,26.19
27.593,26.139
27.533,26.158
27.594,26.212
27.585,26.158
27.576,26.147
27.797,26.229
27.349,26.167
27.665,26.143
27.463,26.23
27.663,26.172
27.823,26.174
27.895,26.236
27.898,26.223
27.305,26.199
27.621,26.219
27.695,26.175
27.596,26.153
27.606,26.228
27.805,26.155
27.789,26.234
27.992,26.232
28.271,26.258
27.54,26.224
27.643,26.224
27.642,26.213
27.663,26.238
27.214,26.255
27.688,26.187
27.464,26.165
27.461,26.202
27.8,26.249
27.724,26.16
27.471,26.182
27.685,26.192
27.465,26.178
27.364,26.207
27.995,26.256
27.502,26.208
27.583,26.245
27.526,26.192
27.473,26.267
27.947,26.19
27.692,26.187
27.63,26.235
27.445,26.24
27.921,26.227
27.645,26.245
27.557,26.211
27.592,26.215
27.366,26.193
27.689,26.199
27.54,26.185
27.559,26.227
27.595,26.248
27.683,26.166
27.727,26.216
27.896,26.18
27.688,26.183
27.829,26.278
27.725,26.193
27.538,26.183
27.719,26.189
27.694,26.2
27.871,26.275
27.789,26.252
27.717,26.17
27.624,26.264
27.593,26.174
27.506,26.231
27.735,26.187
28.321,26.342
27.743,26.217
27.608,26.177
27.599,26.248
27.305,26.294
27.534,26.206
27.664,26.27
27.819,26.265
27.733,26.268
27.631,26.209
27.592,26.192
27.674,26.239
27.48,26.291
27.779,26.268
27.5,26.265
27.502,26.264
27.406,26.232
27.714,26.259
27.562,26.253
27.885,26.213
27.519,26.264
27.321,26.24
27.495,26.278
27.71,26.214
27.548,26.28
27.588,26.23
27.894,26.294
27.595,26.199
27.729,26.197
27.578,26.218
27.42,26.218
27.639,26.21
28.146,26.299
27.568,26.282
27.456,26.218
27.684,26.302
27.705,26.262
27.532,26.201
27.718,26.274
27.785,26.278
27.419,26.22
27.425,26.289
27.736,26.231
27.615,26.286
27.832,26.262
27.841,26.272
27.476,26.259
27.479,26.293
27.557,26.262
27.612,26.286
27.703,26.198
27.407,26.229
27.612,26.251
27.468,26.225
27.693,26.293
27.494,26.288
27.605,26.274
27.721,26.275
27.729,26.204
27.544,26.227
27.606,26.29
27.627,26.304
27.502,26.317
27.463,26.247
27.58,26.29
27.475,26.231
27.582,26.29
27.607,26.286
27.553,26.257
27.674,26.25
27.455,26.228
27.521,26.307
27.52,26.259
27.472,26.294
27.753,26.219
27.705,26.245
27.613,26.301
27.804,26.255
27.533,26.321
27.536,26.291
27.522,26.249
27.738,26.22
27.582,26.279
27.338,26.277
28.1,26.344
27.706,26.231
27.738,26.253
27.591,26.306
27.626,26.242
27.737,26.311
27.241,26.348
27.997,26.288
27.639,26.248
27.532,26.301
27.911,26.265
27.634,26.252
27.792,26.302
27.769,26.228
27.479,26.271
27.461,26.342
27.648,26.319
27.863,26.251
28.391,26.324
27.618,26.301
27.812,26.31
27.879,26.247
28.129,26.319
27.65,26.303
27.636,26.312
27.624,26.321
27.632,26.255
27.639,26.243
27.622,26.291
27.686,26.328
27.662,26.324
27.713,26.291
27.719,26.329
27.689,26.303
27.425,26.251
27.42,26.326
27.937,26.278
27.652,26.264
27.683,26.313
27.752,26.312
27.577,26.245
27.761,26.263
27.73,26.263
27.761,26.324
27.754,26.325
27.836,26.328
27.469,26.269
27.686,26.24
27.684,26.36
27.486,26.294
27.643,26.283
27.548,26.266
27.478,26.282
27.782,26.341
27.513,26.361
27.647,26.327
27.656,26.33
27.869,26.311
27.832,26.343
27.772,26.317
27.595,26.338
27.542,26.355
27.697,26.346
27.536,26.261
27.476,26.384
27.707,26.315
27.557,26.302
27.713,26.277
27.472,26.302
27.547,26.278
27.564,26.268
27.732,26.269
27.503,26.276
27.696,26.297
27.522,26.28
27.776,26.364
27.571,26.279
27.704,26.307
27.785,26.363
27.71,26.38
27.74,26.346
27.846,26.366
27.579,26.294
27.645,26.356
27.729,26.376
27.646,26.33
27.748,26.35
27.642,26.275
27.732,26.358
27.481,26.29
28.236,26.339
27.722,26.379
27.445,26.316
27.579,26.356
27.628,26.397
27.899,26.314
27.661,26.306
27.409,26.327
27.819,26.365
27.752,26.322
27.638,26.278
27.667,26.304
27.439,26.364
27.754,26.358
28.116,26.374
27.858,26.332
27.527,26.376
27.968,26.38
27.579,26.414
27.695,26.319
27.917,26.38
27.84,26.342
27.678,26.326
27.858,26.319
27.932,26.372
27.853,26.359
27.701,26.363
27.452,26.332
27.679,26.384
27.754,26.29
27.727,26.338
27.786,26.377
27.865,26.301
27.969,26.364
27.642,26.319
27.417,26.382
27.833,26.329
27.691,26.311
27.694,26.351
27.775,26.386
27.856,26.364
27.595,26.331
27.758,26.389
27.77,26.365
27.551,26.376
27.875,26.343
27.655,26.375
27.549,26.389
27.653,26.394
27.8,26.382
27.602,26.391
27.925,26.4
28.118,26.391
27.826,26.305
27.815,26.387
27.921,26.387
27.652,26.402
27.497,26.388
27.576,26.328
26.856,26.74
26.998,26.608
28.154,26.388
27.738,26.409
27.956,26.394
27.513,26.36
27.794,26.377
27.594,26.34
27.765,26.395
27.831,26.373
28.181,26.461
27.511,26.44
27.601,26.409
27.905,26.378
27.603,26.419
27.808,26.392
27.959,26.378
26.731,27.662
27.957,26.377
27.71,26.346
27.823,26.329
27.858,26.351
27.802,26.413
27.677,26.363
27.577,26.376
27.673,26.405
27.868,26.422
27.562,26.341
27.41,26.35
27.57,26.44
27.909,26.416
27.745,26.368
27.948,26.418
27.547,26.426
27.869,26.391
27.856,26.393
27.564,26.362
27.476,26.371
27.685,26.416
27.826,26.41
27.891,26.339
28.127,26.494
27.772,26.358
27.697,26.343
27.819,26.484
27.867,26.361
27.657,26.353
27.838,26.409
27.902,26.363
27.936,26.359
27.933,26.349
27.687,26.357
27.689,26.424
27.561,26.356
27.743,26.391
27.579,26.371
27.67,26.387
28.034,26.459
27.397,26.362
27.543,26.429
