F090W_vega,F150W_vega
26.255,24.777
26.119,24.771
26.172,24.734
26.191,24.774
26.151,24.773
26.262,24.782
26.277,24.778
26.076,24.788
26.242,24.778
26.291,24.79
26.325,24.783
26.272,24.784
26.316,24.801
26.26,24.779
26.235,24.792
26.161,24.798
26.06,24.801
26.11,24.73
26.233,24.808
26.189,24.807
26.176,24.795
26.29,24.825
26.301,24.817
26.116,24.81
26.217,24.811
26.154,24.828
26.234,24.826
26.379,24.811
26.027,24.832
26.145,24.782
26.12,24.84
26.275,24.826
26.157,24.832
26.236,24.835
26.129,24.842
26.211,24.848
25.258,25.137
26.07,24.85
26.309,24.854
26.302,24.849
26.402,24.846
26.233,24.843
26.25,24.853
26.058,24.859
26.312,24.849
26.252,24.872
26.126,24.849
26.27,24.841
26.037,24.86
26.14,24.857
26.237,24.878
25.9,24.878
26.409,24.864
25.493,24.985
26.41,24.879
26.249,24.856
26.333,24.871
26.201,24.849
26.194,24.86
26.178,24.873
26.312,24.877
26.202,24.872
25.865,24.909
26.22,24.87
26.166,24.889
26.317,24.875
26.355,24.889
26.296,24.891
26.463,24.9
26.617,24.895
26.351,24.905
26.15,24.887
26.269,24.908
25.307,25.226
26.286,24.895
26.149,24.916
26.316,24.904
26.476,24.902
26.182,24.916
26.232,24.902
26.168,24.922
26.083,24.907
25.362,25.152
26.239,24.891
26.158,24.906
26.334,24.904
26.451,24.911
26.371,24.898
26.003,24.93
26.286,24.925
26.231,24.908
26.306,24.916
26.404,24.931
26.261,24.932
26.263,24.922
26.198,24.925
26.283,24.915
26.37,24.945
26.433,24.937
26.226,24.923
26.056,24.943
26.265,24.931
25.245,25.36
26.624,24.96
26.19,24.946
26.259,24.933
26.416,24.924
26.387,24.94
26.316,24.945
26.295,24.956
26.124,24.966
26.243,24.947
26.316,24.963
26.259,24.936
26.226,24.943
26.219,24.939
26.113,24.967
26.287,24.953
26.363,24.954
26.414,24.952
26.525,24.979
26.392,24.95
26.242,24.967
26.235,24.958
26.213,24.986
26.289,24.973
26.306,24.981
26.461,24.978
26.334,24.978
26.022,25.005
26.355,24.983
26.519,24.973
26.212,24.974
26.413,24.987
26.316,25.005
26.722,25.0
26.463,25.012
26.322,24.988
26.548,25.01
26.379,25.003
26.236,24.997
26.328,25.009
26.303,24.991
26.331,25.012
26.327,25.015
26.24,25.024
26.464,25.023
26.387,25.022
26.241,25.012
26.517,25.006
26.349,25.012
26.558,25.012
26.545,25.018
26.532,25.035
26.31,25.028
26.553,25.025
26.385,25.023
26.153,25.042
26.405,25.022
26.178,25.066
26.229,25.027
26.446,25.023
26.345,25.038
26.53,25.029
26.422,25.026
25.345,25.45
26.568,25.017
26.292,25.038
26.347,25.023
26.37,25.042
26.418,25.052
26.273,25.057
26.457,25.048
26.358,25.054
26.415,25.045
26.319,25.032
26.414,25.031
26.405,25.038
26.299,25.045
26.262,25.035
26.439,25.045
26.509,25.057
26.489,25.051
26.315,25.048
26.24,25.064
26.616,25.053
26.407,25.057
26.482,25.054
26.521,25.046
26.278,25.064
26.479,25.062
26.545,25.054
26.378,25.073
25.505,25.324
26.56,25.072
26.37,25.068
26.504,25.068
26.43,25.065
26.328,25.081
25.514,25.333
26.427,25.082
26.381,25.078
26.348,25.09
26.65,25.072
26.536,25.079
26.346,25.088
26.28,25.083
26.473,25.072
26.415,25.077
26.436,25.074
26.616,25.106
26.578,25.084
26.455,25.091
26.29,25.105
26.413,25.077
26.508,25.099
26.167,25.103
26.59,25.104
26.544,25.09
26.357,25.1
26.445,25.099
26.471,25.099
26.35,25.094
26.678,25.121
26.173,25.112
26.409,25.126
26.351,25.122
26.439,25.125
26.493,25.106
26.624,25.087
26.298,25.107
26.359,25.112
26.447,25.105
26.269,25.128
26.556,25.124
26.37,25.132
26.466,25.103
26.427,25.114
26.405,25.115
26.495,25.13
26.601,25.136
26.616,25.14
26.26,25.138
26.472,25.122
26.373,25.129
26.462,25.128
26.534,25.128
26.677,25.141
26.68,25.141
26.361,25.146
26.45,25.131
26.378,25.138
26.615,25.15
26.413,25.135
26.568,25.153
26.447,25.168
26.528,25.148
26.51,25.142
26.671,25.133
25.528,25.47
26.547,25.133
26.283,25.179
26.522,25.16
26.504,25.157
26.412,25.165
26.04,25.187
26.32,25.177
26.55,25.158
26.327,25.169
26.512,25.158
26.383,25.177
26.637,25.178
26.636,25.168
25.663,25.349
25.456,25.63
26.547,25.174
26.598,25.154
26.628,25.168
26.464,25.17
26.479,25.171
26.553,25.17
26.504,25.175
26.608,25.172
26.392,25.173
26.586,25.165
26.335,25.172
